旧色,token,归类,出现次数,ΔL*
#e2e3e6,--x-n88,neutral,2,2.44
#2d2a26,--x-n20,neutral,2,2.63
#fbf8f1,--x-warn-96,warn,2,2.02
#666,--x-n41,neutral,2,2.18
#6a6a75,--x-n41,neutral,2,4.15
#fff7ed,--x-warn-96,warn,2,1.98
#f0f6ff,--x-pine-96,brand→pine,2,0.77
#1e50a2,--x-pine-30,brand→pine,2,5.39
#e6e7ed,--x-n88,neutral,2,3.93
#747887,--x-n50,neutral,2,0.56
#283252,--x-n20,brand→neutral,2,1.49
#20283a,--x-n20,neutral,2,3.72
#6674dc,--x-pine-51,brand→pine,2,1.4
#30394a,--x-n20,neutral,2,3.96
#e8ecf4,--x-n96,brand→neutral,2,2.61
#f8f9fc,--x-n100,brand→neutral,2,1.73
#7d8798,--x-n60,neutral,2,3.72
#cfd5e1,--x-n88,neutral,2,2.65
#55606f,--x-n41,neutral,2,0.69
#9aa3b2,--x-n68,neutral,2,1.3
#f8fcff,--x-pine-96,brand→pine,2,2.84
#e7e9ee,--x-n96,neutral,2,3.59
#f5f7fb,--x-n96,brand→neutral,2,1.27
#25253a,--x-n12,neutral,2,3.42
#ff3b30,--x-cinnabar-58,cinnabar,2,1.31
#fafafd,--x-n100,brand→neutral,2,1.31
#edf1ff,--x-pine-96,brand→pine,2,0.69
#7b8490,--x-n50,neutral,2,4.78
#4d5662,--x-n41,neutral,2,4.81
#4a4a52,--x-n30,neutral,2,1.67
#6b4bd6,--x-pine-44,brand→pine,2,1.19
#f7f9ff,--x-pine-96,brand→pine,2,2.02
#f4f5f7,--x-n96,neutral,2,0.59
#8a929e,--x-n60,neutral,2,0.51
#555e6b,--x-n41,neutral,2,1.43
#a33f45,--x-cinnabar-44,cinnabar,2,3.18
#fff5f5,--x-cinnabar-96,cinnabar,2,3.71
#e0e3e8,--x-n88,neutral,2,2.35
#395f5d,--x-n41,neutral,2,3.45
#e1e4e9,--x-n88,neutral,2,2.7
#28323f,--x-n20,neutral,2,0.53
#89919d,--x-n60,neutral,2,0.13
#315f55,--x-n41,brand→neutral,2,4.09
#35404d,--x-n30,neutral,2,3.43
#9299a4,--x-n60,neutral,2,3.23
#f5f7fa,--x-n96,brand→neutral,2,1.24
#536dcc,--x-pine-51,brand→pine,2,2.55
#536dca,--x-pine-51,brand→pine,2,2.67
#d9deea,--x-n88,neutral,2,0.62
#4b5563,--x-n41,neutral,2,5.23
#fef2f2,--x-cinnabar-96,cinnabar,2,2.82
#edf0f7,--x-n96,brand→neutral,2,1.17
#1d4ed8,--x-pine-44,brand→pine,2,4.95
#ffffff,--x-n100,endpoint,1,0.0
#172033,--x-n12,brand→neutral,1,0.13
#748096,--x-n50,neutral,1,3.33
#e3e7ee,--x-n88,neutral,1,3.73
#3548b5,--x-pine-30,brand→pine,1,5.6
#239967,--x-pine-58,pine,1,1.95
#d64b4b,--x-cinnabar-51,cinnabar,1,0.77
#718096,--x-n50,neutral,1,3.11
#f7fbff,--x-pine-96,brand→pine,1,2.52
#5f75df,--x-pine-51,brand→pine,1,1.4
#293244,--x-n20,neutral,1,0.84
#e4e8ef,--x-n96,neutral,1,4.04
#b9e6cc,--x-pine-90,pine,1,2.37
#ffc9c9,--x-cinnabar-90,cinnabar,1,2.85
#5b75d6,--x-pine-51,brand→pine,1,0.63
#21a266,--x-pine-58,pine,1,0.93
#db4b4b,--x-cinnabar-51,cinnabar,1,1.63
#99a1af,--x-n68,neutral,1,2.01
#f9f9f9,--x-n100,neutral,1,1.73
#e6e6e6,--x-n88,neutral,1,3.5
#3d3d3d,--x-n30,neutral,1,4.29
#2b6fff,--x-pine-51,brand→pine,1,0.17
#1f6bff,--x-pine-51,brand→pine,1,1.45
#ffb15c,--x-warn-74,warn,1,4.04
#7a8494,--x-n50,neutral,1,4.84
#25243b,--x-n12,neutral,1,3.15
#9292a3,--x-n60,neutral,1,1.29
#6c6a82,--x-n50,neutral,1,4.22
#aaa9bb,--x-n68,neutral,1,1.8
#85839b,--x-n60,neutral,1,4.09
#9c9ab0,--x-n68,neutral,1,3.62
#f0a13c,--x-warn-74,warn,1,1.65
#f2705f,--x-cinnabar-58,cinnabar,1,4.76
#e4f7ff,--x-pine-96,brand→pine,1,0.18
#dedcff,--x-pine-90,brand→pine,1,1.09
#f6ddff,--x-pine-90,brand→pine,1,1.04
#55bff2,--x-pine-74,brand→pine,1,0.85
#7472ed,--x-pine-51,brand→pine,1,2.9
#b76be4,--x-pine-58,brand→pine,1,0.05
#7772eb,--x-pine-51,brand→pine,1,3.0
#55bfe6,--x-pine-74,brand→pine,1,1.3
#706e80,--x-n50,neutral,1,2.83
#c44958,--x-cinnabar-51,cinnabar,1,2.37
#fff7f8,--x-cinnabar-96,cinnabar,1,4.28
#e5e5ed,--x-n88,neutral,1,3.35
#65bfe8,--x-pine-74,brand→pine,1,0.68
#7772e7,--x-pine-51,brand→pine,1,2.76
#55536c,--x-n41,neutral,1,4.64
#79c9e9,--x-pine-74,brand→pine,1,2.98
#6561d5,--x-pine-44,brand→pine,1,3.16
#6d68d9,--x-pine-51,brand→pine,1,1.29
#efefff,--x-pine-96,brand→pine,1,1.04
#9b99ab,--x-n68,neutral,1,4.12
#55536a,--x-n41,neutral,1,4.72
#8d88df,--x-pine-58,brand→pine,1,2.26
#8b899d,--x-n60,neutral,1,1.9
#65b7d8,--x-pine-74,brand→pine,1,3.55
#2c6ecb,--x-pine-44,brand→pine,1,3.0
#e0342b,--x-cinnabar-51,cinnabar,1,0.81
#4caf50,--x-pine-58,pine,1,5.82
#f7f7f8,--x-n96,neutral,1,1.34
#eee,--x-n96,neutral,1,1.82
#dcdcdc,--x-n88,neutral,1,0.03
#f0f0f2,--x-n96,neutral,1,1.07
#8a8a8f,--x-n60,neutral,1,2.14
#0f8a6e,--x-pine-51,brand→pine,1,0.18
#34d399,--x-pine-74,pine,1,1.7
#0ea5a3,--x-pine-58,brand→pine,1,3.19
#cfcfcf,--x-n88,neutral,1,4.67
#e4e0fb,--x-pine-90,brand→pine,1,0.23
#f7f6ff,--x-pine-96,brand→pine,1,1.28
#f2f9ff,--x-pine-96,brand→pine,1,1.66
#4b4a63,--x-n30,neutral,1,2.42
#a5a9b2,--x-n68,neutral,1,1.15
#e1e3e7,--x-n88,neutral,1,2.39
#7b808a,--x-n50,neutral,1,3.47
#0d6efd,--x-pine-51,brand→pine,1,1.09
#9aa0a6,--x-n68,neutral,1,2.47
#5b6b7b,--x-n41,neutral,1,3.46
#e7e8ea,--x-n96,neutral,1,3.95
#b0722a,--x-warn-51,warn,1,2.52
#22d3ee,--x-pine-74,brand→pine,1,3.8
#818cf8,--x-pine-58,brand→pine,1,3.67
#dff7ff,--x-pine-96,brand→pine,1,0.15
#f9dcff,--x-pine-90,brand→pine,1,1.05
#a9c8ec,--x-pine-74,brand→pine,1,5.37
#4f7fc4,--x-pine-51,brand→pine,1,1.78
#9db6d6,--x-n78,brand→neutral,1,4.46
#7c8da0,--x-n60,neutral,1,1.85
#eef3f9,--x-pine-96,brand→pine,1,0.28
#6b7c92,--x-n50,neutral,1,1.39
#a2b4cc,--x-n68,neutral,1,4.65
#66809f,--x-n50,neutral,1,2.69
#315b8e,--x-pine-44,brand→pine,1,5.97
#9fb0c6,--x-n68,neutral,1,3.18
#7db4ee,--x-pine-74,brand→pine,1,2.46
#f4f8ff,--x-pine-96,brand→pine,1,1.56
#27497f,--x-pine-30,brand→pine,1,1.33
#2d528e,--x-pine-30,brand→pine,1,5.24
#eef5fd,--x-pine-96,brand→pine,1,0.32
#8298b4,--x-n60,neutral,1,2.32
#c6d8ee,--x-pine-90,brand→pine,1,4.33
#33507a,--x-n30,brand→neutral,1,3.61
#7c93b2,--x-n60,neutral,1,0.46
#f6f1e4,--x-warn-96,warn,1,0.41
#e3dcc7,--x-warn-90,warn,1,2.1
#e6ddc6,--x-warn-90,warn,1,1.64
#8a8064,--x-n50,neutral,1,3.77
#40382c,--x-n20,neutral,1,4.13
#ddd2b6,--x-warn-90,warn,1,5.5
#9c8f6f,--x-n60,neutral,1,0.0
#f5f3ff,--x-pine-96,brand→pine,1,0.39
#e8e8e8,--x-n96,neutral,1,3.92
#a0a0a0,--x-n68,neutral,1,2.16
#f6f6f8,--x-n96,neutral,1,1.01
#f0f0f3,--x-n96,neutral,1,1.05
#7c8df5,--x-pine-58,brand→pine,1,3.43
#efe6ff,--x-pine-90,brand→pine,1,2.67
#7c3aed,--x-pine-44,brand→pine,1,0.57
#e5efff,--x-pine-96,brand→pine,1,1.76
#2563eb,--x-pine-44,brand→pine,1,2.09
#dcf5e7,--x-pine-96,pine,1,1.47
#16825d,--x-pine-51,pine,1,2.81
#ffe4e6,--x-cinnabar-96,cinnabar,1,0.8
#9a8fd0,--x-n60,brand→neutral,1,2.8
#b5b5b5,--x-n78,neutral,1,3.98
#8a8a8a,--x-n60,neutral,1,2.28
#3a3f4a,--x-n30,neutral,1,3.46
#7a8ab0,--x-n60,neutral,1,2.25
#f5f5f8,--x-n96,neutral,1,0.69
#c23a3a,--x-cinnabar-44,cinnabar,1,1.33
#f0caca,--x-cinnabar-90,cinnabar,1,3.98
#fff2f2,--x-cinnabar-96,cinnabar,1,2.9
#6d5cff,--x-pine-51,brand→pine,1,1.33
#8a8aa3,--x-n60,neutral,1,1.51
#dcdce8,--x-n88,neutral,1,0.28
#ecebff,--x-pine-96,brand→pine,1,2.26
#55555f,--x-n41,neutral,1,4.54
#83838d,--x-n60,neutral,1,4.71
#efeff5,--x-n96,neutral,1,1.32
#f2f2f4,--x-n96,neutral,1,0.38
#e6e6ef,--x-n88,neutral,1,3.73
#f3f0ff,--x-pine-96,brand→pine,1,0.5
#f4f4f8,--x-n96,neutral,1,0.37
#d5d5e0,--x-n88,neutral,1,2.23
#3568a8,--x-pine-44,brand→pine,1,0.48
#eef5ff,--x-pine-96,brand→pine,1,0.38
#4772a8,--x-n50,brand→neutral,1,2.77
#9aa,--x-n68,neutral,1,0.3
#fff3cd,--x-warn-96,warn,1,0.29
#f0d97a,--x-warn-90,warn,1,3.12
#ffe89a,--x-warn-90,warn,1,2.37
#999,--x-n60,neutral,1,3.46
#ddd,--x-n88,neutral,1,0.32
#e0765a,--x-cinnabar-58,cinnabar,1,3.26
#777,--x-n50,neutral,1,0.03
#c9c9d6,--x-n78,neutral,1,3.65
#e2e2ee,--x-n88,neutral,1,2.4
#fafaff,--x-pine-96,brand→pine,1,2.49
#ececf4,--x-n96,neutral,1,2.32
#fcfcff,--x-pine-96,brand→pine,1,3.13
#7a7a88,--x-n50,neutral,1,1.64
#f0f0f6,--x-n96,neutral,1,0.97
#b5b5c0,--x-n78,neutral,1,3.68
#c0c0cc,--x-n78,neutral,1,0.37
#a5b4fc,--x-pine-74,brand→pine,1,0.48
#e9edf4,--x-n96,brand→neutral,1,2.29
#667085,--x-n50,neutral,1,2.89
#8b96aa,--x-n60,neutral,1,2.07
#faf8ff,--x-pine-96,brand→pine,1,1.99
#fffaf5,--x-warn-96,warn,1,2.91
#7582a1,--x-n50,neutral,1,4.36
#69758b,--x-n50,neutral,1,1.01
#566176,--x-n41,neutral,1,0.06
#8794b0,--x-n60,neutral,1,1.43
#6d778b,--x-n50,neutral,1,0.14
#dfe4ef,--x-n88,brand→neutral,1,2.71
#252d3e,--x-n20,neutral,1,1.43
#7b8497,--x-n60,neutral,1,4.74
#8b95a7,--x-n60,neutral,1,1.7
#c43f4f,--x-cinnabar-44,cinnabar,1,2.75
#7764e8,--x-pine-51,brand→pine,1,0.45
#7755cf,--x-pine-44,brand→pine,1,1.56
#a25ee5,--x-pine-51,brand→pine,1,2.34
#ee7a3e,--x-warn-58,warn,1,5.71
#f29a45,--x-warn-74,warn,1,2.95
#4e63d3,--x-pine-44,brand→pine,1,2.0
#785cca,--x-pine-44,brand→pine,1,2.89
#b464a0,--x-n50,brand→neutral,1,3.33
#705dcc,--x-pine-44,brand→pine,1,2.52
#3158c8,--x-pine-44,brand→pine,1,3.07
#6f7888,--x-n50,neutral,1,0.2
#20242c,--x-n12,neutral,1,1.94
#939dab,--x-n68,neutral,1,3.66
#586bdc,--x-pine-51,brand→pine,1,1.78
#2b3342,--x-n20,neutral,1,1.24
#929aa8,--x-n60,neutral,1,3.62
#e1e5ed,--x-n88,neutral,1,3.06
#273041,--x-n20,neutral,1,0.12
#c9d0e4,--x-n88,brand→neutral,1,4.28
#e9edf6,--x-n96,brand→neutral,1,2.23
#8bc8db,--x-pine-74,brand→pine,1,3.09
#6684c7,--x-pine-58,brand→pine,1,2.63
#a7c49a,--x-n78,neutral,1,1.58
#608d77,--x-n60,neutral,1,4.83
#cab187,--x-warn-74,warn,1,0.73
#9b7564,--x-n50,neutral,1,2.52
#c2a4cf,--x-n68,brand→neutral,1,3.2
#7f77b5,--x-n50,neutral,1,2.99
#747e8e,--x-n50,neutral,1,2.49
#6877d8,--x-pine-51,brand→pine,1,2.07
#626f84,--x-n50,neutral,1,3.52
#929bab,--x-n60,neutral,1,3.99
#a6adba,--x-n68,neutral,1,2.52
#606b7d,--x-n41,neutral,1,3.91
#fff8ed,--x-warn-96,warn,1,2.22
#fde3ba,--x-warn-90,warn,1,1.5
#a16207,--x-warn-44,warn,1,3.49
#b08a5a,--x-warn-58,warn,1,2.03
#636e7e,--x-n50,neutral,1,3.95
#f2f4f7,--x-n96,neutral,1,0.2
#fbfdff,--x-pine-96,brand→pine,1,3.3
#8a94a8,--x-n60,neutral,1,1.38
#9ba3b2,--x-n68,neutral,1,1.22
#5d687b,--x-n41,neutral,1,2.73
#a2aaba,--x-n68,neutral,1,1.42
#17213a,--x-n12,brand→neutral,1,0.9
#f7f8ff,--x-pine-96,brand→pine,1,1.77
#27345b,--x-n20,brand→neutral,1,2.58
#f5f6ff,--x-pine-96,brand→pine,1,1.13
#5a78df,--x-pine-51,brand→pine,1,1.9
#4bbfd9,--x-pine-74,brand→pine,1,2.06
#e2e6ee,--x-n88,neutral,1,3.41
#222d43,--x-n20,brand→neutral,1,1.41
#38445b,--x-n30,neutral,1,1.33
#7184d8,--x-pine-58,brand→pine,1,1.11
#222c42,--x-n20,brand→neutral,1,1.8
#dde5f2,--x-n88,brand→neutral,1,2.9
#6a83df,--x-pine-58,brand→pine,1,1.45
#4b5970,--x-n41,neutral,1,3.51
#f4f7ff,--x-pine-96,brand→pine,1,1.31
#f9fbff,--x-pine-96,brand→pine,1,2.66
#e1e5ec,--x-n88,neutral,1,3.03
#fbfcfe,--x-pine-96,brand→pine,1,3.03
#f3f5f8,--x-n96,neutral,1,0.55
#5d6879,--x-n41,neutral,1,2.65
#f5f7ff,--x-pine-96,brand→pine,1,1.38
#e6d9a8,--x-warn-90,warn,1,3.26
#fdf8ec,--x-warn-96,warn,1,2.05
#f8efd6,--x-warn-96,warn,1,1.07
#a89a72,--x-n60,neutral,1,4.11
#fde4c8,--x-warn-90,warn,1,2.03
#d5dbff,--x-pine-90,brand→pine,1,2.0
#4f4a9e,--x-n41,brand→neutral,1,4.97
#f1f8ff,--x-pine-96,brand→pine,1,1.34
#6f8fea,--x-pine-58,brand→pine,1,2.59
#6a63d8,--x-pine-51,brand→pine,1,2.79
#ee5869,--x-cinnabar-58,cinnabar,1,0.21
#ef5264,--x-cinnabar-58,cinnabar,1,0.62
#f7f8fc,--x-pine-96,brand→pine,1,1.7
#8a899b,--x-n60,neutral,1,2.05
#e5edff,--x-pine-96,brand→pine,1,2.27
#e6e0ff,--x-pine-90,brand→pine,1,0.5
#f7f7ff,--x-pine-96,brand→pine,1,1.53
#5c56bb,--x-n41,brand→neutral,1,1.02
#e9e7ff,--x-pine-90,brand→pine,1,2.46
#898899,--x-n60,neutral,1,2.47
#383746,--x-n20,neutral,1,3.85
#8c8b9d,--x-n60,neutral,1,1.28
#eff5ff,--x-pine-96,brand→pine,1,0.45
#eceaff,--x-pine-96,brand→pine,1,2.5
#565568,--x-n41,neutral,1,4.13
#aaa9b6,--x-n68,neutral,1,1.65
#e8e8ef,--x-n96,neutral,1,3.74
#5a55b2,--x-n41,brand→neutral,1,0.02
#e9e8ff,--x-pine-90,brand→pine,1,2.71
#e6f3ff,--x-pine-96,brand→pine,1,0.69
#777687,--x-n50,neutral,1,0.24
#b1b0bc,--x-n68,neutral,1,4.22
#484756,--x-n30,neutral,1,0.72
#6f78e8,--x-pine-58,brand→pine,1,3.46
#6860cf,--x-pine-44,brand→pine,1,2.76
#aaa9b7,--x-n68,neutral,1,1.68
#d34b5d,--x-cinnabar-51,cinnabar,1,0.58
#353443,--x-n20,neutral,1,2.49
#717bea,--x-pine-58,brand→pine,1,2.46
#625aca,--x-pine-44,brand→pine,1,0.51
#aaa9b5,--x-n68,neutral,1,1.62
#c44556,--x-cinnabar-51,cinnabar,1,3.05
#858596,--x-n60,neutral,1,3.71
#514ca0,--x-n41,brand→neutral,1,4.16
#777789,--x-n50,neutral,1,0.59
#b54655,--x-cinnabar-44,cinnabar,1,1.41
#555568,--x-n41,neutral,1,4.22
#343447,--x-n20,neutral,1,2.58
#f1f2f8,--x-n96,brand→neutral,1,0.35
#77768a,--x-n50,neutral,1,0.34
#ececf3,--x-n96,neutral,1,2.34
#8a89a0,--x-n60,neutral,1,1.88
#52bdf2,--x-pine-74,brand→pine,1,1.51
#6f70e9,--x-pine-51,brand→pine,1,1.81
#b66edc,--x-pine-58,brand→pine,1,0.13
#969fb0,--x-n68,neutral,1,2.74
#2c3548,--x-n20,neutral,1,2.25
#7b8597,--x-n60,neutral,1,4.46
#8a94a5,--x-n60,neutral,1,1.28
#8f8da4,--x-n60,neutral,1,0.26
#b6b4c8,--x-n78,neutral,1,3.63
#f0b03c,--x-warn-74,warn,1,1.9
#a56a10,--x-warn-51,warn,1,0.99
#9a9ab0,--x-n68,neutral,1,3.78
#d9534f,--x-cinnabar-51,cinnabar,1,2.61
#cfcfd6,--x-n88,neutral,1,4.49
#34c759,--x-pine-74,pine,1,3.06
#2ba24a,--x-pine-58,pine,1,0.67
#e0e0e8,--x-n88,neutral,1,1.59
#6b5bd6,--x-pine-44,brand→pine,1,2.29
#f7f5ff,--x-pine-96,brand→pine,1,1.03
#f0c3c1,--x-cinnabar-90,cinnabar,1,5.88
#fff6f5,--x-cinnabar-96,cinnabar,1,3.96
#7aa77f,--x-n68,neutral,1,3.62
#fff8e6,--x-warn-96,warn,1,2.06
#f2e0b0,--x-warn-90,warn,1,0.36
#7a5d1c,--x-warn-44,warn,1,2.62
#d5d5de,--x-n88,neutral,1,2.29
#5b4bc4,--x-pine-44,brand→pine,1,3.98
#ef4b56,--x-cinnabar-58,cinnabar,1,1.85
#e0e4eb,--x-n88,neutral,1,2.68
#7784cf,--x-pine-58,brand→pine,1,1.15
#6573bd,--x-n50,brand→neutral,1,0.33
#f0f3ff,--x-pine-96,brand→pine,1,0.02
#e1e5eb,--x-n88,neutral,1,3.0
#6f7884,--x-n50,neutral,1,0.06
#f2f5ff,--x-pine-96,brand→pine,1,0.67
#fbfaff,--x-pine-96,brand→pine,1,2.56
#5d9f91,--x-n60,neutral,1,1.17
#7177cf,--x-pine-51,brand→pine,1,2.2
#5670d3,--x-pine-51,brand→pine,1,1.16
#df6680,--x-cinnabar-58,cinnabar,1,0.75
#45a07e,--x-pine-58,pine,1,1.65
#313b48,--x-n20,neutral,1,4.61
#a1a8b1,--x-n68,neutral,1,0.54
#6278dc,--x-pine-51,brand→pine,1,2.18
#959da8,--x-n68,neutral,1,3.6
#4d927b,--x-pine-58,pine,1,2.51
#ebf7f3,--x-pine-96,pine,1,0.36
#f1f3f7,--x-n96,neutral,1,0.12
#9199a4,--x-n60,neutral,1,3.15
#7e8792,--x-n60,neutral,1,3.84
#f8f6ff,--x-pine-96,brand→pine,1,1.35
#f6f6fa,--x-n96,neutral,1,1.07
#a0a0aa,--x-n68,neutral,1,1.88
#5d5d68,--x-n41,neutral,1,1.17
#c9bcff,--x-pine-74,brand→pine,1,5.25
#2a2a32,--x-n20,neutral,1,2.51
#e9e9f0,--x-n96,neutral,1,3.39
#17263b,--x-n12,brand→neutral,1,2.68
#213c4b,--x-n20,brand→neutral,1,4.01
#3f3a67,--x-n30,neutral,1,3.14
#233448,--x-n20,brand→neutral,1,1.26
#55a891,--x-pine-58,pine,1,5.17
#5574bb,--x-n50,brand→neutral,1,0.5
#6e83cc,--x-pine-58,brand→pine,1,2.17
#875faf,--x-n50,brand→neutral,1,2.47
#c48268,--x-cinnabar-58,cinnabar,1,2.52
#8c6dc3,--x-n50,brand→neutral,1,2.34
#273141,--x-n20,neutral,1,0.21
#edf4f3,--x-n96,neutral,1,0.27
#17262d,--x-n12,brand→neutral,1,1.98
#172334,--x-n12,brand→neutral,1,1.24
#26223b,--x-n12,neutral,1,2.62
#667fe9,--x-pine-58,brand→pine,1,2.19
#9c68dc,--x-pine-51,brand→pine,1,3.19
#ef6b70,--x-cinnabar-58,cinnabar,1,3.69
#d9eee6,--x-pine-90,pine,1,2.42
#f0c9c9,--x-cinnabar-90,cinnabar,1,4.25
#659c93,--x-n60,neutral,1,0.71
#6c6fc0,--x-n50,brand→neutral,1,0.07
#f5f8f7,--x-n96,neutral,1,1.41
#172e31,--x-n20,brand→neutral,1,2.61
#284c4b,--x-n30,brand→neutral,1,0.32
#4b4571,--x-n30,neutral,1,1.63
#b2bff2,--x-pine-74,brand→pine,1,3.82
#707987,--x-n50,neutral,1,0.53
#566fd3,--x-pine-51,brand→pine,1,1.42
#dfe3e9,--x-n88,neutral,1,2.3
#969daa,--x-n68,neutral,1,3.47
#e2e5ea,--x-n88,neutral,1,3.05
#38414e,--x-n30,neutral,1,2.83
#aab7e8,--x-pine-74,brand→pine,1,0.84
#a2a8b2,--x-n68,neutral,1,0.65
#777f8b,--x-n50,neutral,1,2.9
#536dce,--x-pine-51,brand→pine,1,2.43
#a3a9b3,--x-n68,neutral,1,1.02
#a2a8b1,--x-n68,neutral,1,0.62
#2d5d55,--x-n41,brand→neutral,1,4.95
#a9c8c0,--x-n78,neutral,1,0.54
#4f887b,--x-n50,neutral,1,2.61
#303947,--x-n20,neutral,1,3.83
#9ba2ad,--x-n68,neutral,1,1.64
